"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Berhampur","WS_AP/BAM/2021-22/2216511","CONNECTION_ACTIVATED","WS/BAM/2203391","2022-03-03","2022-03-03",NULL,"04"
"Sambalpur","WS_AP/SMB/2021-22/2216451","CONNECTION_ACTIVATED","WS/SMB/2203395","2022-03-03","2022-03-03",NULL,"28"
"Cuttack","WS_AP/CTC/2021-22/2216411","CONNECTION_ACTIVATED","WS/CTC/2203423","2022-03-03","2022-03-03",NULL,"43"
"Cuttack","WS_AP/CTC/2021-22/2216375","CONNECTION_ACTIVATED","WS/CTC/2203559","2022-03-03","2022-03-04",NULL,"01"
"Angul","WS_AP/ANG/2021-22/2216499","PENDING_FOR_CONNECTION_ACTIVATION",NULL,"2022-03-03","2022-03-03",NULL,"12"
"Rourkela","WS_AP/RRK/2021-22/2216515","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"06"
"Sambalpur","WS_AP/SMB/2021-22/2216441","CONNECTION_ACTIVATED","WS/SMB/2203392","2022-03-03","2022-03-03",NULL,"28"
"Bhubaneswar","WS_AP/BMC/2021-22/2216483","CONNECTION_ACTIVATED","WS/BMC/2203387","2022-03-03","2022-03-03",NULL,"23"
"Berhampur","WS_AP/BAM/2021-22/2216504","CONNECTION_ACTIVATED","WS/BAM/2203388","2022-03-03","2022-03-03",NULL,"07"
"Bhubaneswar","WS_AP/BMC/2021-22/2216463","CONNECTION_ACTIVATED","WS/BMC/2203394","2022-03-03","2022-03-03",NULL,"05"
"Ganjam","WS_AP/GJM/2021-22/2216507","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"04"
"Cuttack","WS_AP/CTC/2021-22/2216395","CONNECTION_ACTIVATED","WS/CTC/2203420","2022-03-03","2022-03-03",NULL,"43"
"Berhampur","WS_AP/BAM/2021-22/2216506","CONNECTION_ACTIVATED","WS/BAM/2203389","2022-03-03","2022-03-03",NULL,"22"
"Sambalpur","WS_AP/SMB/2021-22/2216454","CONNECTION_ACTIVATED","WS/SMB/2203396","2022-03-03","2022-03-03",NULL,"41"
"Sambalpur","WS_AP/SMB/2021-22/2216495","CONNECTION_ACTIVATED","WS/SMB/2203402","2022-03-03","2022-03-03",NULL,"41"
"Cuttack","WS_AP/CTC/2021-22/2216405","CONNECTION_ACTIVATED","WS/CTC/2203422","2022-03-03","2022-03-03",NULL,"43"
"Cuttack","WS_AP/CTC/2021-22/2216489","CONNECTION_ACTIVATED","WS/CTC/2203424","2022-03-03","2022-03-03",NULL,"43"
"Cuttack","WS_AP/CTC/2021-22/2216461","CONNECTION_ACTIVATED","WS/CTC/2203655","2022-03-03","2022-03-04",NULL,"05"
"Sambalpur","WS_AP/SMB/2021-22/2216478","CONNECTION_ACTIVATED","WS/SMB/2203398","2022-03-03","2022-03-03",NULL,"41"
"Sambalpur","WS_AP/SMB/2021-22/2216484","CONNECTION_ACTIVATED","WS/SMB/2203401","2022-03-03","2022-03-03",NULL,"41"
"Rourkela","WS_AP/RRK/2021-22/2216520","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"06"
"Puri","WS_AP/PRI/2021-22/2216512","CONNECTION_ACTIVATED","WS/PRI/2203404","2022-03-03","2022-03-03",NULL,"22"
"Rourkela","WS_AP/RRK/2021-22/2216522","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"06"
"Sambalpur","WS_AP/SMB/2021-22/2216523","CONNECTION_ACTIVATED","WS/SMB/2204126","2022-03-03","2022-03-07",NULL,"15"
"Sambalpur","WS_AP/SMB/2021-22/2216531","CONNECTION_ACTIVATED","WS/SMB/2204131","2022-03-03","2022-03-07",NULL,"15"
"Bhubaneswar","WS_AP/BMC/2021-22/2216513","CONNECTION_ACTIVATED","WS/BMC/2203393","2022-03-03","2022-03-03",NULL,"22"
"Kodala","WS_AP/KDL/2021-22/2216514","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"10"
"Kodala","WS_AP/KDL/2021-22/2216518","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-03-03","2022-03-03",NULL,"10"
