"ulb","connectionno"
"Bhawanipatna","WS/BWP/2208223"
"Nilgiri","WS/NLG/2208513"
"Nilgiri","WS/NLG/2208519"
"Nilgiri","WS/NLG/2208525"
"Rayagada","WS/RYG/2208530"
"Nilgiri","WS/NLG/2208531"
"Nilgiri","WS/NLG/2208535"
"Nilgiri","WS/NLG/2208542"
"Puri","WS/PRI/2208562"
"Bhubaneswar","WS/BMC/2208556"
"Puri","WS/PRI/2208548"
"Kamakhyanagar","WS/KMN/2208560"
"Bhubaneswar","WS/BMC/2208561"
"Bhubaneswar","WS/BMC/2208563"
"Bhubaneswar","WS/BMC/2208718"
"Balasore","WS/BLS/2208581"
"Bhubaneswar","WS/BMC/2208731"
"Puri","WS/PRI/2208571"
"Puri","WS/PRI/2208576"
"Bhubaneswar","WS/BMC/2208569"
"Dhenkanal","WS/DKN/2208579"
"Puri","WS/PRI/2208618"
"Nilgiri","WS/NLG/2208588"
"Kamakhyanagar","WS/KMN/2208625"
"Bhubaneswar","WS/BMC/2208602"
"Nilgiri","WS/NLG/2208637"
"Nilgiri","WS/NLG/2208606"
"Nilgiri","WS/NLG/2208656"
"Puri","WS/PRI/2208675"
"Phulbani","WS/PLB/2208694"
"Nilgiri","WS/NLG/2208722"
"Nilgiri","WS/NLG/2208708"
"Puri","WS/PRI/2208717"
"Jharsuguda","WS/JRS/2206492"
"Puri","WS/PRI/2208740"
"Puri","WS/PRI/2208748"
"Puri","WS/PRI/1814477"
"Puri","WS/PRI/2208751"
"Puri","WS/PRI/2208752"
"Puri","WS/PRI/2208758"
"Puri","WS/PRI/2208759"
"Puri","WS/PRI/2208761"
"Puri","WS/PRI/2208765"
"Puri","WS/PRI/2208768"
"Puri","WS/PRI/2208770"
"Puri","WS/PRI/2208773"
"Puri","WS/PRI/2208775"
"Puri","WS/PRI/2208777"
"Cuttack","WS/CTC/2208779"
"Puri","WS/PRI/2208778"
"Cuttack","WS/CTC/2208780"
"Cuttack","WS/CTC/2208781"
"Cuttack","WS/CTC/2208782"
"Cuttack","WS/CTC/2208783"
"Khariar","WS/KHR/2205404"
"Khariar","WS/KHR/2207309"
"Khariar","WS/KHR/2207311"
"Khariar","WS/KHR/2207316"
"Puri","WS/PRI/2207418"
"Jharsuguda","WS/JRS/2206556"
"Puri","WS/PRI/2205610"
"Bhubaneswar","WS/BMC/2208289"
"Bhubaneswar","WS/BMC/2208291"
"Bhubaneswar","WS/BMC/2208290"
"Bhubaneswar","WS/BMC/2208292"
"Bhubaneswar","WS/BMC/2208293"
"Bhubaneswar","WS/BMC/2208294"
"Bhubaneswar","WS/BMC/2208295"
"Jharsuguda","WS/JRS/2206494"
"Bhubaneswar","WS/BMC/2208296"
"Puri","WS/PRI/2205903"
"Puri","WS/PRI/2205901"
"Bhawanipatna","WS/BWP/2208383"
"Bhawanipatna","WS/BWP/2208374"
"Bhawanipatna","WS/BWP/2208368"
"Bhawanipatna","WS/BWP/2208485"
"Bhawanipatna","WS/BWP/2208486"
"Bhawanipatna","WS/BWP/2208483"
"Bhawanipatna","WS/BWP/2208480"
"Bhawanipatna","WS/BWP/2208347"
"Bhawanipatna","WS/BWP/2208326"
"Bhawanipatna","WS/BWP/2208349"
"Bhawanipatna","WS/BWP/2208479"
"Bhawanipatna","WS/BWP/2208323"
"Bhawanipatna","WS/BWP/2208492"
"Bhawanipatna","WS/BWP/2208490"
"Puri","WS/PRI/2207691"
"Bhawanipatna","WS/BWP/2208488"
"Puri","WS/PRI/2207701"
"Bhawanipatna","WS/BWP/2208505"
"Bhawanipatna","WS/BWP/2208538"
"Puri","WS/PRI/2207710"
"Bhawanipatna","WS/BWP/2208506"
"Bhawanipatna","WS/BWP/2208508"
"Bhubaneswar","WS/BMC/2208096"
"Bhawanipatna","WS/BWP/2208361"
"Bhawanipatna","WS/BWP/2208352"
"Bhawanipatna","WS/BWP/2208353"
"Bhawanipatna","WS/BWP/2208363"
"Bhubaneswar","WS/BMC/2205866"
"Bhawanipatna","WS/BWP/2208379"
"Puri","WS/PRI/2207772"
"Puri","WS/PRI/2207775"
"Puri","WS/PRI/2207779"
"Bhawanipatna","WS/BWP/2208544"
"Bhawanipatna","WS/BWP/2208541"
"Bhawanipatna","WS/BWP/2208539"
"Bhubaneswar","WS/BMC/2208447"
"Bhawanipatna","WS/BWP/2208536"
"Bhawanipatna","WS/BWP/2208533"
"Bhawanipatna","WS/BWP/2208532"
"Bhawanipatna","WS/BWP/2208529"
"Puri","WS/PRI/2207801"
"Bhawanipatna","WS/BWP/2208527"
"Bhawanipatna","WS/BWP/2208526"
"Puri","WS/PRI/2207803"
"Bhawanipatna","WS/BWP/2208524"
"Bhawanipatna","WS/BWP/2208523"
"Bhawanipatna","WS/BWP/2208520"
"Puri","WS/PRI/2207809"
"Bhawanipatna","WS/BWP/2208518"
"Puri","WS/PRI/2207812"
"Bhawanipatna","WS/BWP/2208516"
"Puri","WS/PRI/2207816"
"Bhawanipatna","WS/BWP/2208515"
"Puri","WS/PRI/2207823"
"Bhawanipatna","WS/BWP/2208514"
"Puri","WS/PRI/2192569"
"Bhawanipatna","WS/BWP/2208512"
"Bhawanipatna","WS/BWP/2208509"
"Puri","WS/PRI/2207832"
"Puri","WS/PRI/2207839"
"Puri","WS/PRI/2207857"
"Cuttack","WS/CTC/2208018"
"Puri","WS/PRI/2206021"
"Jaleswar","WS/JLS/2208275"
"Bhawanipatna","WS/BWP/2208586"
"Khariar","WS/KHR/2206034"
"Khariar","WS/KHR/2207999"
"Bhawanipatna","WS/BWP/2208585"
"Khariar","WS/KHR/2206035"
"Puri","WS/PRI/2208015"
"Bhawanipatna","WS/BWP/2208583"
"Khariar","WS/KHR/2206262"
"Bhawanipatna","WS/BWP/2208582"
"Puri","WS/PRI/2206045"
"Puri","WS/PRI/2206047"
"Bhawanipatna","WS/BWP/2208738"
"Bhawanipatna","WS/BWP/2208578"
"Bhawanipatna","WS/BWP/2208575"
"Bhawanipatna","WS/BWP/2208573"
"Puri","WS/PRI/2206049"
"Puri","WS/PRI/2206051"
"Bhubaneswar","WS/BMC/2206054"
"Bhawanipatna","WS/BWP/2208356"
"Bhawanipatna","WS/BWP/2208737"
"Bhawanipatna","WS/BWP/2208616"
"Bhawanipatna","WS/BWP/2208610"
"Bhawanipatna","WS/BWP/2208604"
"Bhawanipatna","WS/BWP/2208596"
"Bhawanipatna","WS/BWP/2208592"
"Bhawanipatna","WS/BWP/2208589"
"Puri","WS/PRI/2206094"
"Puri","WS/PRI/2206095"
"Puri","WS/PRI/2206096"
"Puri","WS/PRI/2206097"
"Puri","WS/PRI/2206098"
"Puri","WS/PRI/2206099"
"Puri","WS/PRI/2206100"
"Choudwar","WS/CDR/2208057"
"Choudwar","WS/CDR/2208058"
"Choudwar","WS/CDR/2208059"
"Choudwar","WS/CDR/2208060"
"Choudwar","WS/CDR/2208061"
"Nilgiri","WS/NLG/2208063"
"Choudwar","WS/CDR/2208062"
"Nilgiri","WS/NLG/2208064"
"Nilgiri","WS/NLG/2208065"
"Nilgiri","WS/NLG/2208066"
"Nilgiri","WS/NLG/2208068"
"Khariar","WS/KHR/2208071"
"Khariar","WS/KHR/2208072"
"Khariar","WS/KHR/2208073"
"Nilgiri","WS/NLG/2208074"
"Bhubaneswar","WS/BMC/2208076"
"Nilgiri","WS/NLG/2208077"
"Nilgiri","WS/NLG/2208075"
"Bhubaneswar","WS/BMC/2208079"
"Khariar","WS/KHR/2208080"
"Bhubaneswar","WS/BMC/2208081"
"Khariar","WS/KHR/2208307"
