"tenantid","connectionno"
"Cuttack","WS/CTC/2210191"
"Balasore","WS/BLS/2210135"
"Bhubaneswar","WS/BMC/2210133"
"Cuttack","WS/CTC/2210190"
"Puri","WS/PRI/2208761"
"Puri","WS/PRI/2208765"
"Balasore","WS/BLS/2210146"
"Barbil","WS/BBL/2210155"
"Cuttack","WS/CTC/2210187"
"Cuttack","WS/CTC/2210185"
"Barbil","WS/BBL/2210168"
"Puri","WS/PRI/2208768"
"Barbil","WS/BBL/2210175"
"Barbil","WS/BBL/2210182"
"Puri","WS/PRI/2208770"
"Barbil","WS/BBL/2210184"
"Puri","WS/PRI/2208773"
"Puri","WS/PRI/2208775"
"Puri","WS/PRI/2208777"
"Puri","WS/PRI/2208778"
"Kesinga","WS/KSG/2210214"
"Kesinga","WS/KSG/2210223"
"Bhubaneswar","WS/BMC/2210225"
"Kesinga","WS/KSG/2210227"
"Kesinga","WS/KSG/2210230"
"Kesinga","WS/KSG/2210234"
"Puri","WS/PRI/2208888"
"Puri","WS/PRI/2208898"
"Paradeep","WS/PDP/2208901"
"Puri","WS/PRI/2208900"
"Puri","WS/PRI/2208904"
"Paradeep","WS/PDP/2208950"
"Paradeep","WS/PDP/2209044"
"Paradeep","WS/PDP/2209092"
"Puri","WS/PRI/2209091"
"Paradeep","WS/PDP/2209095"
"Puri","WS/PRI/2209096"
"Paradeep","WS/PDP/2209099"
"Puri","WS/PRI/2209100"
"Puri","WS/PRI/2209105"
"Paradeep","WS/PDP/2209101"
"Puri","WS/PRI/2209102"
"Paradeep","WS/PDP/2209104"
"Paradeep","WS/PDP/2209109"
"Paradeep","WS/PDP/2209112"
"Balliguda","WS/BLD/2210204"
"Paradeep","WS/PDP/2209157"
"Paradeep","WS/PDP/2209159"
"Khariar","WS/KHR/2207999"
"Puri","WS/PRI/2209161"
"Puri","WS/PRI/2209162"
"Puri","WS/PRI/2209163"
"Puri","WS/PRI/2209164"
"Puri","WS/PRI/2209165"
"Puri","WS/PRI/2209166"
"Puri","WS/PRI/2209167"
"Puri","WS/PRI/2209168"
"Puri","WS/PRI/2209169"
"Puri","WS/PRI/2209961"
"Puri","WS/PRI/2208161"
"Rourkela","WS/RRK/2209843"
"Rourkela","WS/RRK/2209847"
"Puri","WS/PRI/2209214"
"Paradeep","WS/PDP/2209220"
"Paradeep","WS/PDP/2209232"
"Paradeep","WS/PDP/2209582"
"Puri","WS/PRI/2209234"
"Paradeep","WS/PDP/2209580"
"Puri","WS/PRI/2209248"
"Paradeep","WS/PDP/2209588"
"Paradeep","WS/PDP/2209586"
"Paradeep","WS/PDP/2209589"
"Paradeep","WS/PDP/2209597"
"Puri","WS/PRI/2209259"
"Puri","WS/PRI/2209257"
"Puri","WS/PRI/2209254"
"Paradeep","WS/PDP/2209594"
"Puri","WS/PRI/2209265"
"Puri","WS/PRI/2209263"
"Puri","WS/PRI/2209266"
"Puri","WS/PRI/2209262"
"Puri","WS/PRI/2209269"
"Puri","WS/PRI/2209270"
"Puri","WS/PRI/2209271"
"Puri","WS/PRI/2209272"
"Puri","WS/PRI/2209274"
"Puri","WS/PRI/2209276"
"Puri","WS/PRI/2209278"
"Puri","WS/PRI/2209284"
"Puri","WS/PRI/2209283"
"Puri","WS/PRI/2209288"
"Puri","WS/PRI/2209285"
"Puri","WS/PRI/2209307"
"Puri","WS/PRI/2209311"
"Puri","WS/PRI/2209309"
"Puri","WS/PRI/2209313"
"Puri","WS/PRI/2209325"
"Puri","WS/PRI/2209318"
"Puri","WS/PRI/2209314"
"Puri","WS/PRI/2209315"
"Puri","WS/PRI/2209326"
"Berhampur","WS/BAM/2172678"
"Phulbani","WS/PLB/2191587"
"Phulbani","WS/PLB/2191605"
"Phulbani","WS/PLB/2191610"
"Phulbani","WS/PLB/2192028"
"Cuttack","WS/CTC/2192571"
"Bhubaneswar","WS/BMC/2194269"
"Bhubaneswar","WS/BMC/2195391"
"Bhubaneswar","WS/BMC/2196641"
"Bhubaneswar","WS/BMC/2196740"
"Bhubaneswar","WS/BMC/2196709"
"Bhubaneswar","WS/BMC/2197030"
"Puri","WS/PRI/2197305"
