"tenantid","connectionno"
"od.bhubaneswar","WS/BMC/2208451"
"od.nilgiri","WS/NLG/2208502"
"od.nilgiri","WS/NLG/2208249"
"od.nilgiri","WS/NLG/2208250"
"od.nilgiri","WS/NLG/2208255"
"od.nilgiri","WS/NLG/2208253"
"od.nilgiri","WS/NLG/2208251"
"od.nilgiri","WS/NLG/2208262"
"od.nilgiri","WS/NLG/2208259"
"od.nilgiri","WS/NLG/2208257"
"od.nilgiri","WS/NLG/2208256"
"od.berhampur","WS/BAM/2208266"
"od.cuttack","WS/CTC/2208436"
"od.bhubaneswar","WS/BMC/2208283"
"od.nilgiri","WS/NLG/2208298"
"od.nilgiri","WS/NLG/2208299"
"od.nilgiri","WS/NLG/2208301"
"od.jatni","WS/JTN/2208300"
"od.nilgiri","WS/NLG/2208302"
"od.nilgiri","WS/NLG/2208304"
"od.nilgiri","WS/NLG/2208305"
"od.nilgiri","WS/NLG/2208306"
"od.chandbali","WS/CNB/2208310"
"od.nilgiri","WS/NLG/2208313"
"od.chandbali","WS/CNB/2208314"
"od.khariar","WS/KHR/2208312"
"od.nilgiri","WS/NLG/2208308"
"od.dhenkanal","WS/DKN/2208309"
"od.nilgiri","WS/NLG/2208315"
"od.nilgiri","WS/NLG/2208311"
"od.chandbali","WS/CNB/2208316"
"od.dhenkanal","WS/DKN/2208318"
"od.nilgiri","WS/NLG/2208319"
"od.chandbali","WS/CNB/2208317"
"od.chandbali","WS/CNB/2208332"
"od.nilgiri","WS/NLG/2208320"
"od.nilgiri","WS/NLG/2208321"
"od.dhenkanal","WS/DKN/2208328"
"od.cuttack","WS/CTC/2208417"
"od.nilgiri","WS/NLG/2208322"
"od.nilgiri","WS/NLG/2208327"
"od.bhawanipatna","WS/BWP/2208218"
"od.nilgiri","WS/NLG/2208325"
"od.bhubaneswar","WS/BMC/2206844"
"od.cuttack","WS/CTC/2208426"
"od.cuttack","WS/CTC/2208415"
"od.nilgiri","WS/NLG/2208333"
"od.nilgiri","WS/NLG/2208337"
"od.chandbali","WS/CNB/2208339"
"od.barpali","WS/BPL/2208345"
"od.nilgiri","WS/NLG/2208342"
"od.nilgiri","WS/NLG/2208346"
"od.nilgiri","WS/NLG/2208350"
"od.cuttack","WS/CTC/2208425"
"od.nilgiri","WS/NLG/2208362"
"od.chandbali","WS/CNB/2208360"
"od.cuttack","WS/CTC/2208423"
"od.cuttack","WS/CTC/2208420"
"od.nilgiri","WS/NLG/2208366"
"od.chandbali","WS/CNB/2208365"
"od.cuttack","WS/CTC/2208422"
"od.nilgiri","WS/NLG/2208364"
"od.bhawanipatna","WS/BWP/2204464"
"od.chandbali","WS/CNB/2208369"
"od.nilgiri","WS/NLG/2208372"
"od.nilgiri","WS/NLG/2208371"
"od.chandbali","WS/CNB/2208376"
"od.nilgiri","WS/NLG/2208478"
"od.chandbali","WS/CNB/2208381"
"od.bhawanipatna","WS/BWP/2208226"
"od.chandbali","WS/CNB/2208405"
"od.bhawanipatna","WS/BWP/2208222"
"od.bhawanipatna","WS/BWP/2208224"
"od.chandbali","WS/CNB/2208414"
"od.chandbali","WS/CNB/2208411"
"od.chandbali","WS/CNB/2208413"
"od.puri","WS/PRI/2204345"
"od.puri","WS/PRI/2204371"
"od.puri","WS/PRI/2204578"
"od.puri","WS/PRI/2204584"
"od.bhubaneswar","WS/BMC/2208468"
"od.puri","WS/PRI/2204590"
"od.bhawanipatna","WS/BWP/2208220"
"od.puri","WS/PRI/2204603"
"od.puri","WS/PRI/2204619"
"od.puri","WS/PRI/2204624"
"od.hinjilicut","WS/HNL/2208131"
"od.bhubaneswar","WS/BMC/2204101"
"od.nilgiri","WS/NLG/2208481"
"od.kamakhyanagar","WS/KMN/2208477"
"od.nilgiri","WS/NLG/2208482"
"od.puri","WS/PRI/2204876"
"od.kamakhyanagar","WS/KMN/2208493"
"od.nilgiri","WS/NLG/2208491"
"od.nilgiri","WS/NLG/2208484"
"od.nilgiri","WS/NLG/2208487"
"od.nilgiri","WS/NLG/2208495"
"od.nilgiri","WS/NLG/2208498"
"od.khariar","WS/KHR/2208499"
"od.nilgiri","WS/NLG/2208501"
"od.nilgiri","WS/NLG/2208500"
"od.nilgiri","WS/NLG/2208497"
"od.bhawanipatna","WS/BWP/2208227"
"od.khariar","WS/KHR/2208503"
"od.nilgiri","WS/NLG/2208507"
"od.nilgiri","WS/NLG/2208510"
"od.bhawanipatna","WS/BWP/2208223"
"od.nilgiri","WS/NLG/2208513"
"od.nilgiri","WS/NLG/2208519"
"od.nilgiri","WS/NLG/2208525"
"od.rayagada","WS/RYG/2208530"
"od.nilgiri","WS/NLG/2208531"
"od.nilgiri","WS/NLG/2208535"
"od.nilgiri","WS/NLG/2208542"
"od.puri","WS/PRI/2208548"
"od.jharsuguda","WS/JRS/2206492"
"od.puri","WS/PRI/1814477"
"od.khariar","WS/KHR/2205404"
"od.khariar","WS/KHR/2207309"
"od.khariar","WS/KHR/2207311"
"od.khariar","WS/KHR/2207316"
"od.puri","WS/PRI/2207418"
"od.jharsuguda","WS/JRS/2206556"
"od.puri","WS/PRI/2205610"
"od.bhubaneswar","WS/BMC/2208289"
"od.bhubaneswar","WS/BMC/2208291"
"od.bhubaneswar","WS/BMC/2208290"
"od.bhubaneswar","WS/BMC/2208292"
"od.bhubaneswar","WS/BMC/2208293"
"od.bhubaneswar","WS/BMC/2208294"
"od.bhubaneswar","WS/BMC/2208295"
"od.jharsuguda","WS/JRS/2206494"
"od.bhubaneswar","WS/BMC/2208296"
"od.puri","WS/PRI/2205903"
"od.puri","WS/PRI/2205901"
"od.bhawanipatna","WS/BWP/2208383"
"od.bhawanipatna","WS/BWP/2208374"
"od.bhawanipatna","WS/BWP/2208368"
"od.bhawanipatna","WS/BWP/2208485"
"od.bhawanipatna","WS/BWP/2208486"
"od.bhawanipatna","WS/BWP/2208483"
"od.bhawanipatna","WS/BWP/2208480"
"od.bhawanipatna","WS/BWP/2208347"
"od.bhawanipatna","WS/BWP/2208326"
"od.bhawanipatna","WS/BWP/2208349"
"od.bhawanipatna","WS/BWP/2208479"
"od.bhawanipatna","WS/BWP/2208323"
"od.bhawanipatna","WS/BWP/2208492"
"od.bhawanipatna","WS/BWP/2208490"
"od.puri","WS/PRI/2207691"
"od.bhawanipatna","WS/BWP/2208488"
"od.puri","WS/PRI/2207701"
"od.bhawanipatna","WS/BWP/2208505"
"od.bhawanipatna","WS/BWP/2208538"
"od.puri","WS/PRI/2207710"
"od.bhawanipatna","WS/BWP/2208506"
"od.bhawanipatna","WS/BWP/2208508"
"od.bhubaneswar","WS/BMC/2208096"
"od.bhawanipatna","WS/BWP/2208361"
"od.bhawanipatna","WS/BWP/2208352"
"od.bhawanipatna","WS/BWP/2208353"
"od.bhawanipatna","WS/BWP/2208363"
"od.bhubaneswar","WS/BMC/2205866"
"od.bhawanipatna","WS/BWP/2208379"
"od.puri","WS/PRI/2207772"
"od.puri","WS/PRI/2207775"
"od.puri","WS/PRI/2207779"
"od.bhawanipatna","WS/BWP/2208544"
"od.bhawanipatna","WS/BWP/2208541"
"od.bhawanipatna","WS/BWP/2208539"
"od.bhubaneswar","WS/BMC/2208447"
"od.bhawanipatna","WS/BWP/2208536"
"od.bhawanipatna","WS/BWP/2208533"
"od.bhawanipatna","WS/BWP/2208532"
"od.bhawanipatna","WS/BWP/2208529"
"od.puri","WS/PRI/2207801"
"od.bhawanipatna","WS/BWP/2208527"
"od.bhawanipatna","WS/BWP/2208526"
"od.puri","WS/PRI/2207803"
"od.bhawanipatna","WS/BWP/2208524"
"od.bhawanipatna","WS/BWP/2208523"
