"tenantid","connectionno"
"Berhampur","WS/BAM/2206810"
"Berhampur","WS/BAM/2209704"
"Berhampur","WS/BAM/2206811"
"Berhampur","WS/BAM/2206825"
"Berhampur","WS/BAM/2206829"
"Berhampur","WS/BAM/2206835"
"Puri","WS/PRI/2209724"
"Berhampur","WS/BAM/2206838"
"Berhampur","WS/BAM/2206853"
"Berhampur","WS/BAM/2206849"
"Puri","WS/PRI/2209729"
"Puri","WS/PRI/2209738"
"Berhampur","WS/BAM/2206872"
"Bhawanipatna","WS/BWP/2204464"
"Cuttack","WS/CTC/2209794"
"Cuttack","WS/CTC/2209795"
"Puri","WS/PRI/2209766"
"Bhubaneswar","WS/BMC/2209765"
"Chandbali","WS/CNB/2209773"
"Puri","WS/PRI/2209772"
"Bhubaneswar","WS/BMC/2209771"
"Puri","WS/PRI/2209774"
"Bhubaneswar","WS/BMC/2209778"
"Puri","WS/PRI/2209777"
"Chandbali","WS/CNB/2209775"
"Puri","WS/PRI/2209780"
"Chandbali","WS/CNB/2209779"
"Bhubaneswar","WS/BMC/2209784"
"Puri","WS/PRI/2209787"
"Puri","WS/PRI/2209786"
"Chandbali","WS/CNB/2209783"
"Puri","WS/PRI/2209785"
"Puri","WS/PRI/2209791"
"Cuttack","WS/CTC/2209797"
"Cuttack","WS/CTC/2209799"
"Paradeep","WS/PDP/2209807"
"Bhubaneswar","WS/BMC/2209811"
"Bhawanipatna","WS/BWP/2204893"
"Balasore","WS/BLS/2209834"
"Balasore","WS/BLS/2209835"
"Bhawanipatna","WS/BWP/2204902"
"Puri","WS/PRI/2204578"
"Phulbani","WS/PLB/2210081"
"Puri","WS/PRI/2209832"
"Puri","WS/PRI/2209833"
"Puri","WS/PRI/2204584"
"Puri","WS/PRI/2204590"
"Puri","WS/PRI/2204603"
"Puri","WS/PRI/2204619"
"Puri","WS/PRI/2204624"
"Dhenkanal","WS/DKN/2209845"
"Phulbani","WS/PLB/2210033"
"Khariar","WS/KHR/2209846"
"Joda","WS/JOD/2209849"
"Paradeep","WS/PDP/2209967"
"Joda","WS/JOD/2209854"
"Khariar","WS/KHR/2209851"
"Dhenkanal","WS/DKN/2209855"
"Paradeep","WS/PDP/2209968"
"Khariar","WS/KHR/2209856"
"Paradeep","WS/PDP/2209969"
"Dharamgarh","WS/DMG/2209857"
"Paradeep","WS/PDP/2209970"
"Paradeep","WS/PDP/2209971"
"Paradeep","WS/PDP/2209973"
"Puri","WS/PRI/2209861"
"Phulbani","WS/PLB/2210080"
"Phulbani","WS/PLB/2210079"
"Puri","WS/PRI/2209865"
"Puri","WS/PRI/2209874"
"Dhenkanal","WS/DKN/2209867"
"Bhubaneswar","WS/BMC/2209870"
"Puri","WS/PRI/2209873"
"Paradeep","WS/PDP/2209872"
"Paradeep","WS/PDP/2209972"
"Paradeep","WS/PDP/2210130"
"Berhampur","WS/BAM/2209881"
"Puri","WS/PRI/2209888"
"Dhenkanal","WS/DKN/2209882"
"Berhampur","WS/BAM/2209885"
"Puri","WS/PRI/2209893"
"Dhenkanal","WS/DKN/2209901"
"Puri","WS/PRI/2209902"
"Puri","WS/PRI/2204876"
"Puri","WS/PRI/2209898"
"Paradeep","WS/PDP/2210142"
"Paradeep","WS/PDP/2210139"
"Puri","WS/PRI/2209906"
"Berhampur","WS/BAM/2209905"
"Puri","WS/PRI/2209910"
"Puri","WS/PRI/2209913"
"Berhampur","WS/BAM/2209907"
"Berhampur","WS/BAM/2209911"
"Phulbani","WS/PLB/2210050"
"Berhampur","WS/BAM/2209920"
"Bhubaneswar","WS/BMC/2209924"
"Puri","WS/PRI/2209935"
"Bhubaneswar","WS/BMC/2209937"
"Bhubaneswar","WS/BMC/2209939"
"Choudwar","WS/CDR/2209943"
"Bhubaneswar","WS/BMC/2209947"
"Paradeep","WS/PDP/2210157"
"Paradeep","WS/PDP/2210152"
"Bhubaneswar","WS/BMC/2209950"
"Bhubaneswar","WS/BMC/2209952"
"Puri","WS/PRI/2208562"
"Puri","WS/PRI/2208548"
"Paradeep","WS/PDP/2210161"
"Puri","WS/PRI/2208571"
"Puri","WS/PRI/2208576"
"Bhubaneswar","WS/BMC/2209960"
"Puri","WS/PRI/2208618"
"Puri","WS/PRI/2208675"
"Puri","WS/PRI/2208717"
"Balasore","WS/BLS/2209977"
"Bhawanipatna","WS/BWP/2210166"
"Puri","WS/PRI/2208740"
"Puri","WS/PRI/2208748"
"Puri","WS/PRI/2208751"
"Puri","WS/PRI/2208752"
"Barbil","WS/BBL/2210101"
"Cuttack","WS/CTC/2210188"
"Bhubaneswar","WS/BMC/2209879"
"Balasore","WS/BLS/2210111"
"Barbil","WS/BBL/2210118"
"Dhenkanal","WS/DKN/2210123"
"Balasore","WS/BLS/2210120"
"Rourkela","WS/RRK/2210126"
"Puri","WS/PRI/2208758"
"Dhenkanal","WS/DKN/2210143"
"Puri","WS/PRI/2208759"
"Barbil","WS/BBL/2210137"
"Cuttack","WS/CTC/2210191"
"Balasore","WS/BLS/2210135"
"Bhubaneswar","WS/BMC/2210133"
"Cuttack","WS/CTC/2210190"
"Puri","WS/PRI/2208761"
"Puri","WS/PRI/2208765"
"Bhubaneswar","WS/BMC/2210156"
"Balasore","WS/BLS/2210146"
"Barbil","WS/BBL/2210155"
"Cuttack","WS/CTC/2210187"
"Cuttack","WS/CTC/2210185"
"Barbil","WS/BBL/2210168"
"Puri","WS/PRI/2208768"
"Barbil","WS/BBL/2210175"
"Bhubaneswar","WS/BMC/2210181"
"Barbil","WS/BBL/2210182"
"Puri","WS/PRI/2208770"
"Barbil","WS/BBL/2210184"
"Puri","WS/PRI/2208773"
"Puri","WS/PRI/2208775"
"Puri","WS/PRI/2208777"
"Puri","WS/PRI/2208778"
"Kesinga","WS/KSG/2210214"
"Kesinga","WS/KSG/2210223"
"Bhubaneswar","WS/BMC/2210225"
"Kesinga","WS/KSG/2210227"
"Kesinga","WS/KSG/2210230"
"Bhubaneswar","WS/BMC/2210233"
"Kesinga","WS/KSG/2210234"
"Phulbani","WS/PLB/2209978"
"Phulbani","WS/PLB/2209983"
"Phulbani","WS/PLB/2209979"
"Phulbani","WS/PLB/2209980"
"Phulbani","WS/PLB/2209981"
"Phulbani","WS/PLB/2209982"
"Phulbani","WS/PLB/2209984"
"Phulbani","WS/PLB/2209985"
"Phulbani","WS/PLB/2209986"
"Phulbani","WS/PLB/2209987"
"Phulbani","WS/PLB/2209989"
"Phulbani","WS/PLB/2209994"
"Phulbani","WS/PLB/2209995"
"Phulbani","WS/PLB/2209990"
"Phulbani","WS/PLB/2209991"
"Phulbani","WS/PLB/2209996"
"Phulbani","WS/PLB/2209993"
"Phulbani","WS/PLB/2209988"
"Phulbani","WS/PLB/2209992"
"Phulbani","WS/PLB/2209997"
"Phulbani","WS/PLB/2209998"
"Phulbani","WS/PLB/2209999"
"Phulbani","WS/PLB/2210000"
