"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Bhanjanagar","WS_AP/BJN/2021-22/2170815","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172313","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170814","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170347","PENDING_FOR_PAYMENT",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170342","PENDING_FOR_PAYMENT",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170345","PENDING_FOR_PAYMENT",NULL,"2021-12-16","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172312","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170813","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172310","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170812","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-21","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170352","PENDING_FOR_PAYMENT",NULL,"2021-12-16","2022-01-12","New Connection"
"Jharsuguda","WS_AP/JRS/2021-22/2172311","INITIATED",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170349","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170423","PENDING_FOR_PAYMENT",NULL,"2021-12-17","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172309","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170359","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170365","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-16","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170413","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-17","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172308","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170414","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-17","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170615","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170620","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170622","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170624","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172300","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Rourkela","WS_AP/RRK/2021-22/2172298","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170626","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170629","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170630","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Ganjam","WS_AP/GJM/2021-22/2172297","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Bhanjanagar","WS_AP/BJN/2021-22/2170634","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2021-12-20","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172282","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172281","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
"Buguda","WS_AP/BGD/2021-22/2172280","PENDING_FOR_FIELD_INSPECTION",NULL,"2022-01-12","2022-01-12","New Connection"
