"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype"
"Purushottampur","WS_AP/PRS/2021-22/2172006","CONNECTION_ACTIVATED","WS/PRS/2096586","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172028","INITIATED","WS/PRS/2096206","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172024","REJECTED","WS/PRS/2098046","2022-01-10","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172026","REJECTED","WS/PRS/2096203","2022-01-10","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172031","REJECTED","WS/PRS/2096515","2022-01-10","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172032","REJECTED","WS/PRS/2097018","2022-01-10","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172012","INITIATED","WS/PRS/2096590","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172014","INITIATED","WS/PRS/2096590","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172025","INITIATED","WS/PRS/2098048","2022-01-10","2022-01-10","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2172011","CONNECTION_ACTIVATED","WS/ASK/2020348","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172021","REJECTED","WS/PRS/2096154","2022-01-10","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172020","REJECTED","WS/PRS/2096590","2022-01-10","2022-01-11","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2172034","INITIATED","WS/ASK/2025175","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171963","INITIATED","WS/PRS/2096716","2022-01-10","2022-01-10","Modify Connection"
"Kamakhyanagar","WS_AP/KMN/2021-22/2171966","INITIATED","WS/KMN/2164788","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171972","INITIATED","WS/PRS/2097008","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172002","PENDING_FOR_APPROVAL","WS/PRS/2098655","2022-01-10","2022-01-10","Modify Connection"
"Aska","WS_AP/ASK/2021-22/2172036","CONNECTION_ACTIVATED","WS/ASK/2025175","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172030","REJECTED","WS/PRS/2098050","2022-01-10","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2171974","PENDING_FOR_APPROVAL","WS/PRS/2097011","2022-01-10","2022-01-10","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172054","CONNECTION_ACTIVATED","WS/PRS/2098658","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172057","CONNECTION_ACTIVATED","WS/PRS/2095791","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172059","CONNECTION_ACTIVATED","WS/PRS/2095795","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172041","CONNECTION_ACTIVATED","WS/PRS/2096988","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172046","CONNECTION_ACTIVATED","WS/PRS/2098657","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172052","CONNECTION_ACTIVATED","WS/PRS/2094124","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172062","CONNECTION_ACTIVATED","WS/PRS/2094504","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172063","CONNECTION_ACTIVATED","WS/PRS/2100187","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172084","CONNECTION_ACTIVATED","WS/PRS/2096262","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172087","CONNECTION_ACTIVATED","WS/PRS/2098000","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172069","CONNECTION_ACTIVATED","WS/PRS/2096193","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172066","CONNECTION_ACTIVATED","WS/PRS/2098533","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172068","CONNECTION_ACTIVATED","WS/PRS/2101359","2022-01-11","2022-01-11","Modify Connection"
"Purushottampur","WS_AP/PRS/2021-22/2172073","CONNECTION_ACTIVATED","WS/PRS/2096582","2022-01-11","2022-01-11","Modify Connection"
