root@kafka-v2-0:/# kafka-consumer-groups --bootstrap-server  kafka-v2.kafka-cluster:9092 --group egov-infra-persist  -describe

TOPIC                               PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID                                     HOST            CLIENT-ID
property-create-validated           1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-workflow-vehicle-trip        1          119             119             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-tl-tradelicense                1          1030            1030            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-pt-billingslab               1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-sw-connection                  1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
cancel-pt-property                  1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
ws-update-installments              1          2306            2306            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-upload-jobs                    1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
ws-create-installments              1          528             528             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-pt-billingslab                 1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-upload-jobs                  1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-pt-assessment                1          501             501             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-mr-dscdetails                1          116             116             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-wf-transitions                 1          37047           37047           0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
egf-bill-checklist-save-topic       1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
cancel-pt-propertyDetail            1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-vehicle-application            1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-tl-calculation                 1          5045            5045            0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-ws-meter                     1          18              18              0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-apportion-demand-request       1          10349           10349           0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-bpa-buildingplan             1          126             126             0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-apportion-demand-response      1          10281           10281           0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
egf-bill-checklist-update-topic     1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-plant-map-application          1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-tl-billingslab               1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-wf-businessservice           1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-tl-adhoc-tradelicense        1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
modify-tl-billingslab               1          0               0               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
save-hrms-employee                  1          6               6               0               consumer-1-93bf39fe-213e-46d2-912e-18da1c0e19e1 /10.42.5.108    consumer-1
update-workflow-vehicle-trip        0          115             115             0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
save-pg-txns                        0          1682            1682            0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
egf-bill-billregister-update-topic  0          0               0               0               consumer-1-5577e629-26f7-45a6-b027-889969383ce6 /10.42.3.239    consumer-1
