"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Jagatsinghpur","WS_AP/JGT/2021-22/2174118","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","10"
"Rourkela","WS_AP/RRK/2021-22/2173474","PENDING_APPROVAL_FOR_CONNECTION",NULL,"2022-01-18","2022-01-19","New Connection","20"
"Sambalpur","WS_AP/SMB/2021-22/2174117","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Purushottampur","WS_AP/PRS/2021-22/2171084","CONNECTION_ACTIVATED","WS/PRS/2171604","2021-12-28","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174116","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","18"
"Sambalpur","WS_AP/SMB/2021-22/2174115","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Purushottampur","WS_AP/PRS/2021-22/2171080","CONNECTION_ACTIVATED","WS/PRS/2171603","2021-12-28","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174113","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Sambalpur","WS_AP/SMB/2021-22/2174112","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Purushottampur","WS_AP/PRS/2021-22/2171078","CONNECTION_ACTIVATED","WS/PRS/2171602","2021-12-28","2022-01-19","New Connection","02"
"Sambalpur","WS_AP/SMB/2021-22/2174111","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Rourkela","WS_AP/RRK/2021-22/2174033","CONNECTION_ACTIVATED","WS/RRK/2171601","2022-01-19","2022-01-19","New Connection","05"
"Purushottampur","WS_AP/PRS/2021-22/2170989","CONNECTION_ACTIVATED","WS/PRS/2171600","2021-12-24","2022-01-19","New Connection","07"
"Sambalpur","WS_AP/SMB/2021-22/2174110","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
"Rourkela","WS_AP/RRK/2021-22/2174107","CONNECTION_ACTIVATED","WS/RRK/2171599","2022-01-19","2022-01-19","New Connection","06"
"Sambalpur","WS_AP/SMB/2021-22/2174109","PENDING_FOR_DOCUMENT_VERIFICATION",NULL,"2022-01-19","2022-01-19","New Connection","15"
