"id","connectionno","billingperiod","meterstatus","lastreading","lastreadingdate","currentreading","currentreadingdate","consumption","createdby","lastmodifiedby","createdtime","lastmodifiedtime","tenantid"
"5d301be1-f09a-4e9b-b3dd-786e82deb196","WS/BMC/1554800","29/01/2022 - 26/02/2022","Working","2295","1643480999000","2320","1645878716072",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645878698730","1645878698730","od.bhubaneswar"
"708ec592-36cf-42d1-a67d-7564a41dc4ae","WS/BMC/2177489","25/08/2021 - 26/02/2022","Working","320","1629889200000","441","1645878938634",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645878888009","1645878888009","od.bhubaneswar"
"6574fa34-7af6-4b78-8225-7c02b9b84163","WS/BMC/1554874","29/01/2022 - 26/02/2022","Working","3445","1643480999000","3460","1645879059807",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879042255","1645879042255","od.bhubaneswar"
"0a76b0c0-5e45-4f66-ba5e-cf0ecd99329f","WS/BMC/1554876","29/01/2022 - 26/02/2022","Working","1696","1643480999000","1714","1645879111259",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879093996","1645879093996","od.bhubaneswar"
"a5542b58-73b7-4d8e-b5f5-0b57a3c5f231","WS/BMC/1554900","29/01/2022 - 26/02/2022","Working","1870","1643480999000","1893","1645879178430",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879130206","1645879130206","od.bhubaneswar"
"1799df96-1981-445f-a237-28b93d61bccf","WS/BMC/1554913","29/01/2022 - 26/02/2022","Working","1300","1643480999000","1322","1645879240070",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879223176","1645879223176","od.bhubaneswar"
"45e8bb4c-d5fc-4fe6-8c44-b1f010b4ba35","WS/BMC/1554915","29/01/2022 - 26/02/2022","Working","730","1643480999000","745","1645879300684",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879283860","1645879283860","od.bhubaneswar"
"d61234bf-17bf-49bc-b354-90af9f73497a","WS/BMC/2177490","25/08/2021 - 26/02/2022","Working","1001","1629889200000","1120","1645879345181",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879326677","1645879326677","od.bhubaneswar"
"c00f86c6-42a7-4a45-8538-53fa48e61dc9","WS/BMC/2177491","25/08/2021 - 26/02/2022","Working","830","1629889200000","953","1645879376603",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879406514","1645879406514","od.bhubaneswar"
"33ce377d-9f0d-4347-881d-b31c2be2ccc8","WS/BMC/1554937","29/01/2022 - 26/02/2022","Working","1840","1643480999000","1860","1645879518404",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879500513","1645879500513","od.bhubaneswar"
"49fdcb45-fb06-4d88-8752-6353132a74b0","WS/BMC/1554940","29/01/2022 - 26/02/2022","Working","2302","1643480999000","2322","1645879577792",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879528622","1645879528622","od.bhubaneswar"
"094dad7d-c31a-4882-81eb-9c9aa46e7b99","WS/BMC/1554947","29/01/2022 - 26/02/2022","Working","440","1643480999000","450","1645879634553",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879618501","1645879618501","od.bhubaneswar"
"4a945ca8-b8cf-4213-9ed5-b02b07227bbd","WS/BMC/1554949","29/01/2022 - 26/02/2022","Working","285","1643480999000","300","1645879685164",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879634933","1645879634933","od.bhubaneswar"
"339d1ec6-76f6-438b-841a-12c4f6c62f70","WS/BMC/1554952","29/01/2022 - 26/02/2022","Working","2903","1643480999000","2923","1645879738081",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879726099","1645879726099","od.bhubaneswar"
"3e8dbe06-57e5-4a14-8722-94af345b86dd","WS/BMC/1554955","29/01/2022 - 26/02/2022","Working","1928","1643480999000","1946","1645879791267",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879776148","1645879776148","od.bhubaneswar"
"31cf5dd9-7069-480f-a49d-9771b99f9822","WS/BMC/1554961","29/01/2022 - 26/02/2022","Working","520","1643480999000","532","1645879843585",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879831472","1645879831472","od.bhubaneswar"
"cceaf0a1-07e8-4b5a-b6fe-4bd71215e4ec","WS/BMC/1554983","29/01/2022 - 26/02/2022","Working","432","1643480999000","452","1645879909850",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879895101","1645879895101","od.bhubaneswar"
"43da9133-5a5d-4de1-9833-0660e631ed24","WS/BMC/1554986","29/01/2022 - 26/02/2022","Working","2157","1643480999000","2177","1645879990221",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645879974314","1645879974314","od.bhubaneswar"
"bf8e2d10-a51e-43d1-b54b-40c5be555a0a","WS/BMC/1554991","29/01/2022 - 26/02/2022","Working","2340","1643480999000","2362","1645880067671",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645880050333","1645880050333","od.bhubaneswar"
"a43f71c4-399a-4fa8-9924-1dd54b880537","WS/BMC/1554993","29/01/2022 - 26/02/2022","Working","1830","1643480999000","1850","1645880123439",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645880106020","1645880106020","od.bhubaneswar"
"89063f94-279e-470c-b6ac-ef462e2ab7aa","WS/BMC/1555014","29/01/2022 - 26/02/2022","Working","790","1643480999000","805","1645880199871",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645880182243","1645880182243","od.bhubaneswar"
"151b5860-f552-4e53-b4ab-2b6e9cd69c7c","WS/BMC/1555017","29/01/2022 - 26/02/2022","Working","2280","1643480999000","2300","1645880250045",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645880232201","1645880232201","od.bhubaneswar"
"e9fc2a7e-5ed8-46da-bd75-9dc885e77076","WS/BMC/1555027","29/01/2022 - 26/02/2022","Working","1125","1643480999000","1140","1645880294077",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645880275794","1645880275794","od.bhubaneswar"
"34ddd978-aaa3-4691-a2b1-196e0237b378","WS/BMC/1555030","29/01/2022 - 26/02/2022","Working","1470","1643480999000","1490","1645880349178",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645880299264","1645880299264","od.bhubaneswar"
"28b416b6-e072-45c6-94e4-db7ff2917c99","WS/BMC/1555032","29/01/2022 - 26/02/2022","Working","1115","1643480999000","1135","1645880424698",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645880374425","1645880374425","od.bhubaneswar"
"146174d4-a8d3-4752-ab99-e172139bf6ce","WS/BMC/1555035","29/01/2022 - 26/02/2022","Working","917","1643480999000","935","1645880554695",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645880503466","1645880503466","od.bhubaneswar"
"819cf9df-779a-41fe-80c6-25c42f730ff5","WS/BMC/1555039","29/01/2022 - 26/02/2022","Working","3195","1643480999000","3215","1645880632292",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645880582258","1645880582258","od.bhubaneswar"
"71876f8b-85bb-4904-9e59-e7e598e3369c","WS/BMC/2177492","25/08/2021 - 26/02/2022","Working","771","1629889200000","887","1645880709918",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645880692311","1645880692311","od.bhubaneswar"
"b58e7203-da79-4aa4-961d-c70adb6ec783","WS/BMC/1555051","29/01/2022 - 26/02/2022","Working","1990","1643480999000","2010","1645880873632",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645880858494","1645880858494","od.bhubaneswar"
"cbf41ef0-0ad6-4ddb-aa87-30848c6c469e","WS/BMC/1555056","29/01/2022 - 26/02/2022","Working","2480","1643480999000","2505","1645881031158",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881014114","1645881014114","od.bhubaneswar"
"857b426d-cad9-4e9f-95da-cfc8884a7c67","WS/BMC/1555059","29/01/2022 - 26/02/2022","Working","1012","1643480999000","1040","1645881116188",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881067863","1645881067863","od.bhubaneswar"
"9af45495-3316-465c-97ca-ccfd8b531274","WS/BMC/1555062","29/01/2022 - 26/02/2022","Working","1843","1643480999000","1860","1645881208002",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881193391","1645881193391","od.bhubaneswar"
"c67f7061-9335-4375-80de-0a7345ac5cb4","WS/BMC/1555065","29/01/2022 - 26/02/2022","Working","1255","1643480999000","1275","1645881273514",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881225704","1645881225704","od.bhubaneswar"
"ce810f87-d99e-4fae-8c90-d0933153f05b","WS/BMC/1555068","29/01/2022 - 26/02/2022","Working","2010","1643480999000","2032","1645881371362",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881355079","1645881355079","od.bhubaneswar"
"b09ba594-a6e9-4d93-8fc3-fa08712c554e","WS/BMC/1555071","29/01/2022 - 26/02/2022","Working","443","1643480999000","468","1645881464120",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881450101","1645881450101","od.bhubaneswar"
"71f69bbe-77b1-4aa4-bc5b-291053ab94d5","WS/BMC/2177493","25/08/2021 - 26/02/2022","Working","1176","1629889200000","1215","1645881557281",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881507162","1645881507162","od.bhubaneswar"
"7b8ab0b5-ea2a-4487-8076-147195f6f73b","WS/BMC/1555074","29/01/2022 - 26/02/2022","Working","600","1643480999000","615","1645881637827",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881591597","1645881591597","od.bhubaneswar"
"ccf40ce6-4573-4681-9574-d4380d1ca2e3","WS/BMC/1555276","29/01/2022 - 26/02/2022","Working","1800","1643480999000","1815","1645881715002",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881698759","1645881698759","od.bhubaneswar"
"92868ec2-a782-4ead-a2c3-d4721e44c299","WS/BMC/1555289","29/01/2022 - 26/02/2022","Working","2556","1643480999000","2580","1645881779352",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881729492","1645881729492","od.bhubaneswar"
"478adbea-807d-4000-95a8-2174f9ebe1dd","WS/BMC/1555292","29/01/2022 - 26/02/2022","Working","2120","1643480999000","2140","1645881871271",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881853956","1645881853956","od.bhubaneswar"
"e50ec512-151b-4a68-bb78-8b7b4bbe6df8","WS/BMC/1555295","29/01/2022 - 26/02/2022","Working","2745","1643480999000","2760","1645881949213",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881930777","1645881930777","od.bhubaneswar"
"5123df79-7ef1-45a6-88ca-bccc4e25ff05","WS/BMC/1543507","29/01/2022 - 26/02/2022","Working","1431","1643480999000","1460","1645882017340",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645881968410","1645881968410","od.bhubaneswar"
"8af4a138-eefa-4975-81ab-2f0e33adf9e2","WS/BMC/1543515","29/01/2022 - 26/02/2022","Working","3850","1643480999000","3875","1645882083023",NULL,"22f9b155-cac2-4d98-8d1e-52dd5367b562","22f9b155-cac2-4d98-8d1e-52dd5367b562","1645882064587","1645882064587","od.bhubaneswar"
