"ulb","applicationno","applicationstatus","connectionno","createddate","lastmodifieddate","applicationtype","ward"
"Purushottampur","WS_AP/PRS/2021-22/2172474","REJECTED","WS/PRS/2094162","2022-01-13","2022-01-13","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172475","REJECTED","WS/PRS/2094164","2022-01-13","2022-01-13","Modify Connection","14"
"Puri","WS_AP/PRI/2021-22/2172472","REJECTED","WS/PRI/2140136","2022-01-13","2022-01-19","Modify Connection","02"
"Purushottampur","WS_AP/PRS/2021-22/2172481","REJECTED","WS/PRS/2093756","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172495","REJECTED","WS/PRS/2094134","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172375","CONNECTION_ACTIVATED","WS/PRS/2095558","2022-01-13","2022-01-13","Modify Connection","11"
"Purushottampur","WS_AP/PRS/2021-22/2172498","CONNECTION_ACTIVATED","WS/PRS/2095544","2022-01-13","2022-01-13","Modify Connection","04"
"Purushottampur","WS_AP/PRS/2021-22/2172500","CONNECTION_ACTIVATED","WS/PRS/2094493","2022-01-13","2022-01-13","Modify Connection","04"
"Bhubaneswar","WS_AP/BMC/2021-22/2172492","PENDING_FOR_APPROVAL","WS/BMC/1500951","2022-01-13","2022-01-13","Close Connection","24"
"Purushottampur","WS_AP/PRS/2021-22/2172390","CONNECTION_ACTIVATED","WS/PRS/2093798","2022-01-13","2022-01-13","Modify Connection","13"
"Purushottampur","WS_AP/PRS/2021-22/2172409","REJECTED","WS/PRS/2094965","2022-01-13","2022-01-13","Modify Connection","10"
"Purushottampur","WS_AP/PRS/2021-22/2172461","CONNECTION_ACTIVATED","WS/PRS/2093805","2022-01-13","2022-01-13","Modify Connection","14"
"Purushottampur","WS_AP/PRS/2021-22/2172505","CONNECTION_ACTIVATED","WS/PRS/2095377","2022-01-13","2022-01-13","Modify Connection","07"
"Purushottampur","WS_AP/PRS/2021-22/2172503","CONNECTION_ACTIVATED","WS/PRS/2095411","2022-01-13","2022-01-13","Modify Connection","07"
